Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Lycée Robin;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;Mise à niveau - Hôtellerie restauration;30;142;97;16;95.0
Lycée Jacques Duhamel;Jura;Bourgogne-Franche-Comté;Besancon;Dole;BTS - Production - Conception de produits industriels;24;136;79;9;83.0
Lycée Jacques Duhamel;Jura;Bourgogne-Franche-Comté;Besancon;Dole;BTS - Services - Conseil et commercialisation de solutions techniques;24;180;72;13;73.0
Lycée polyvalent Hyacinthe Friant - Lycée des métiers de l'hôtellerie, de la restauration et du sanitaire et du social;Jura;Bourgogne-Franche-Comté;Besancon;Poligny;BTS - Services - Economie sociale familiale;29;441;136;15;77.0
Lycée polyvalent Hyacinthe Friant - Lycée des métiers de l'hôtellerie, de la restauration et du sanitaire et du social;Jura;Bourgogne-Franche-Comté;Besancon;Poligny;Mise à niveau - Hôtellerie restauration;24;423;84;23;71.0
Lycée Gaston Crampe;Landes;Nouvelle Aquitaine;Bordeaux;Aire-sur-l'Adour;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);15;50;48;8;100.0
Lycée Gaston Crampe;Landes;Nouvelle Aquitaine;Bordeaux;Aire-sur-l'Adour;BTS - Production - Electrotechnique;28;91;80;20;98.0
Lycée de Borda;Landes;Nouvelle Aquitaine;Bordeaux;Dax;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;161;76;8;83.0
Lycée de Borda;Landes;Nouvelle Aquitaine;Bordeaux;Dax;BTS - Services - Management Commercial Opérationnel;35;452;161;32;50.0
Lycée Charles Despiau;Landes;Nouvelle Aquitaine;Bordeaux;Mont-de-Marsan;BTS - Services - Management Commercial Opérationnel;33;342;113;38;48.0
Lycée Haroun Tazieff;Landes;Nouvelle Aquitaine;Bordeaux;Saint-Paul-lès-Dax;BTS - Production - Développement et Réalisation Bois;15;167;56;14;46.0
Lycée Augustin Thierry;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;105;54;11;77.0
Lycée Augustin Thierry;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Conseil et commercialisation de solutions techniques;15;142;61;16;53.0
Lycée La Providence;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Economie sociale familiale;34;178;148;13;99.0
Université de Tours - Antenne de Blois;Loir-et-Cher;Centre;Orléans-Tours;Blois;Licence - Droit;100;730;589;92;79.0
I.U.T de Blois;Loir-et-Cher;Centre;Orléans-Tours;Blois;BUT - Mesures physiques;56;567;446;38;94.0
I.U.T de Blois;Loir-et-Cher;Centre;Orléans-Tours;Blois;BUT - Métiers du multimédia et de l'internet;54;1157;279;54;41.0
Lycée Georges Brassens;Loire;Auvergne-Rhône-Alpes;Lyon;Rive-de-Gier;BTS - Services - Conseil et commercialisation de solutions techniques;18;218;124;12;73.0
Lycée Jean Monnet;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Services - Gestion de la PME;24;658;135;19;28.0
Lycée Jean Monnet;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Services - Comptabilité et gestion;32;545;164;31;50.0
Lycée Etienne Mimard;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Electrotechnique;30;240;121;15;71.0
Lycée Jean Monnet;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Etude et réalisation d'agencement;14;718;64;15;13.0
Lycée Jean Monnet;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Systèmes constructifs bois et habitat;12;185;48;8;49.0
I.U.T de Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BUT - Gestion administrative et commerciale des organisations;99;2382;1014;108;42.0
Lycée La Salle;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);15;69;52;12;96.0
Lycée Tezenas du Montcel;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Services - Management Commercial Opérationnel;30;485;183;26;53.0
Universite Jean Monnet, Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;Licence - Arts plastiques;175;1280;827;172;92.0
Universite Jean Monnet, Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;Licence - Langues étrangères appliquées - Parcours Anglais - Espagnol;140;760;665;137;99.0
Universite Jean Monnet, Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;Licence - Administration publique;60;487;349;59;89.0
MFREO de Saint Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Agricole - Gestion et maitrise de l'eau;30;46;35;2;100.0
Lycée Francois Mauriac-Forez;Loire;Auvergne-Rhône-Alpes;Lyon;Andrézieux-Bouthéon;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;210;67;13;49.0
I.U.T de Roanne;Loire;Auvergne-Rhône-Alpes;Lyon;Roanne;BUT - Génie industriel et maintenance;45;650;316;29;74.0
Lycée hôtelier RENOUVEAU;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Genest-Lerpt;BTS - Services - Management en hôtellerie restauration;30;115;40;21;35.0
Lycée Charles et Adrien Dupuy;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Le Puy-en-Velay;BTS - Production - Electrotechnique;15;70;47;7;89.0
Lycée Charles et Adrien Dupuy;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Le Puy-en-Velay;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;7;629;25;7;5.0
LEGTPA Yssingeaux;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Yssingeaux;BTS - Agricole - Développement, animation des territoires ruraux;30;154;84;24;98.0
Lycée Léonard de Vinci;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Monistrol-sur-Loire;BTS - Services - Conseil et commercialisation de solutions techniques;24;179;96;22;89.0
ISVT;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Vals-près-le-Puy;BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales;30;168;119;14;84.0
Lycée Polyvalent Gaspard Monge - La Chauvinière;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Production - Maintenance des systèmes - option A Systèmes de production;22;197;77;19;84.0
Lycée professionnel François Arago;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Production - Développement et Réalisation Bois;15;257;61;14;34.0
Lycée général et technologique La Colinière;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Services informatiques aux organisations;33;602;161;31;50.0
Lycée général privé Externat Chavagnes;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - BCPST;48;523;267;22;87.0
LGT Saint-Stanislas;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - PCSI;48;989;462;49;55.0
Lycée La Perverie Sacré-Coeur;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - Lettres;35;415;131;14;92.0
LGT SAINT FELIX - LA SALLE;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Production - Electrotechnique;24;108;63;14;99.0
IMS Nantes;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Négociation et digitalisation de la Relation Client;30;484;168;31;39.0
Lycée/Campus Talensac;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Comptabilité et gestion;18;180;96;15;86.0
I.U.T. Saint-Nazaire;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BUT - Mesures physiques;96;931;863;62;95.0
Lycée St Joseph La Joliverie;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Sébastien-sur-Loire;BTS - Production - Maintenance des véhicules option voitures particulières;29;218;116;28;76.0
ENC-ENSEC;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Conseil et commercialisation de solutions techniques;18;94;52;7;75.0
Lycée général et technologique Carcouët;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Tourisme;70;1426;519;71;50.0
Ifom;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;35;168;101;18;78.0
Ifom;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Diététique;35;301;89;36;36.0
Lycée Pothier;Loiret;Centre;Orléans-Tours;Orléans;CPGE - MPSI;144;2542;853;146;67.0
I.U.T d'Orléans;Loiret;Centre;Orléans-Tours;Orléans;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;50;677;386;43;71.0
Lycée Saint-Paul Bourdon Blanc;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Support à l'action managériale;14;167;65;13;49.0
Lycée Saint-Paul Bourdon Blanc;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Négociation et digitalisation de la Relation Client;28;446;122;29;31.0
Lycée Voltaire;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Négociation et digitalisation de la Relation Client;36;1194;196;30;20.0
Lycée Sainte-Croix Saint-Euverte;Loiret;Centre;Orléans-Tours;Orléans;BTS - Production - Métiers de la mesure;19;64;45;6;97.0
Lycée Maurice Genevoix;Loiret;Centre;Orléans-Tours;Ingré;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;28;330;144;22;65.0
Lycée Clement Marot;Lot;Occitanie;Toulouse;Cahors;BTS - Services - Négociation et digitalisation de la Relation Client;18;219;82;16;59.0
Lycée Clement Marot;Lot;Occitanie;Toulouse;Cahors;BTS - Services - Gestion de la PME;18;136;79;17;72.0
Lycée Champollion;Lot;Occitanie;Toulouse;Figeac;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;12;201;37;13;50.0
Lycée Gaston Monnerville;Lot;Occitanie;Toulouse;Cahors;BTS - Production - Electrotechnique;15;99;46;9;76.0
I.U.T de Figeac;Lot;Occitanie;Toulouse;Figeac;BUT - Techniques de commercialisation;72;1646;708;66;44.0
Lycée Jean-Baptiste De Baudre;Lot-et-Garonne;Nouvelle Aquitaine;Bordeaux;Agen;BTS - Production - Electrotechnique;24;142;79;20;76.0
Lycée Lot et Bastides;Lot-et-Garonne;Nouvelle Aquitaine;Bordeaux;Villeneuve-sur-Lot;BTS - Services - Comptabilité et gestion;35;202;103;27;93.0
Lycée Emile Peytavin;Lozère;Occitanie;Montpellier;Mende;BTS - Production - Electrotechnique;30;166;53;15;98.0
Lycée agricole De La Lozere;Lozère;Occitanie;Montpellier;La Canourgue;BTS - Agricole - Gestion et maitrise de l'eau;27;115;76;10;91.0
Lycée polyvalent privé Sacre-Coeur;Lozère;Occitanie;Montpellier;Saint-Chély-d'Apcher;BTS - Production - Systèmes constructifs bois et habitat;20;41;36;5;97.0
Lycée général et technologique Joachim Du Bellay;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Services - Management Commercial Opérationnel;35;1251;172;34;17.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Production - Conception de produits industriels;21;251;136;20;86.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;21;373;76;21;37.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Services - Support à l'action managériale;24;534;144;21;43.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Services - Service et prestation des secteurs sanitaire et social;35;479;165;26;61.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Services - Services informatiques aux organisations;67;738;251;62;56.0
Lycée polyvalent Europe Robert Schuman;Maine-et-Loire;Pays-de-la-Loire;Nantes;Cholet;BTS - Services - Comptabilité et gestion;18;244;83;13;63.0
Lycée polyvalent Sadi Carnot - Jean Bertin;Maine-et-Loire;Pays-de-la-Loire;Nantes;Saumur;BTS - Production - Motorisations toutes énergies;30;252;128;29;84.0
I.U.T. Angers-Cholet - Site d'Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BUT - Génie biologique Parcours agronomie;36;865;160;34;31.0
I.U.T. Angers-Cholet - Site d'Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BUT - Génie biologique parcours biologie médicale et biotechnologie;38;2133;133;38;10.0
Lycée Polyvalent Blaise Pascal;Maine-et-Loire;Pays-de-la-Loire;Nantes;Segré-en-Anjou Bleu;BTS - Production - Maintenance des systèmes - option A Systèmes de production;7;48;29;6;84.0
Facultés libres de l'Ouest - UCO ANGERS;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;ARS Année de Remise à Niveau Scientifique;100;204;186;41;96.0
Facultés libres de l'Ouest - UCO ANGERS;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Licence - Musicologie;45;228;190;29;98.0
Facultés libres de l'Ouest - UCO ANGERS;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Licence - Portail Histoire;60;492;473;43;100.0
Facultés libres de l'Ouest - UCO ANGERS;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Licence - Sciences sociales;70;593;590;63;100.0
LGT Sainte-Marie / ESUPEC;Maine-et-Loire;Pays-de-la-Loire;Nantes;Cholet;BTS - Services - Communication;32;173;81;34;57.0
LPO SAINT AUBIN LA SALLE;Maine-et-Loire;Pays-de-la-Loire;Nantes;Verrières-en-Anjou;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;15;158;76;14;66.0
LPO SAINT AUBIN LA SALLE;Maine-et-Loire;Pays-de-la-Loire;Nantes;Verrières-en-Anjou;BTS - Production - Electrotechnique;15;51;38;7;90.0
Lycée Jeanne Delanoue;Maine-et-Loire;Pays-de-la-Loire;Nantes;Cholet;BTS - Services - Service et prestation des secteurs sanitaire et social;35;176;106;16;96.0
Université Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Licence - Portail Langues étrangères appliquées - Anglais-Espagnol;220;1331;1123;215;100.0
Université Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Licence - Portail Langues étrangères appliquées - Anglais-Italien;36;219;214;32;100.0
Lycée général et technologique Auguste et Jean Renoir;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Services - Communication;35;1523;213;34;29.0
Lycée polyvalent de l'Hyrôme;Maine-et-Loire;Pays-de-la-Loire;Nantes;Chemillé-en-Anjou;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;24;530;138;22;78.0
Ecole Technique Supérieure de Chimie de l'Ouest (ETSCO);Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Production - Métiers de l'eau;30;88;80;26;100.0
Lycée Julliot De La Morandiere;Manche;Normandie;Normandie;Granville;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;594;52;13;43.0
Lycée Notre Dame De La Providence;Manche;Normandie;Normandie;Avranches;BTS - Services - Services informatiques aux organisations;24;110;78;15;95.0
Lycée agricole de Coutances;Manche;Normandie;Normandie;Coutances;BTS - Agricole - Aménagements paysagers;16;141;65;13;96.0
CNAM-INTECHMER;Manche;Normandie;Normandie;Cherbourg-en-Cotentin;Diplôme d'Etablissement - Cadre technique production et valorisation des ressources marines;15;112;19;14;20.0
CNAM-INTECHMER;Manche;Normandie;Normandie;Cherbourg-en-Cotentin;Diplôme d'Etablissement - Bachelor Océanographe - Prospecteur;14;176;30;14;20.0
Lycée Sivard De Beaulieu;Manche;Normandie;Normandie;Carentan-les-Marais;BTS - Services - Gestion de la PME;32;155;117;17;92.0
IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Cherbourg-en-Cotentin;Manche;Normandie;Normandie;Cherbourg-en-Cotentin;BUT - Génie électrique et informatique industrielle;48;299;246;32;88.0
IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Cherbourg-en-Cotentin;Manche;Normandie;Normandie;Cherbourg-en-Cotentin;BUT - Génie industriel et maintenance;36;307;225;31;87.0
IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Saint-Lô;Manche;Normandie;Normandie;Saint-Lô;BUT - Métiers du multimédia et de l'internet;42;919;252;38;51.0
Lycée CLEMENCEAU;Marne;Grand-Est;Reims;Reims;CPGE - BCPST;48;1141;342;48;50.0
Lycée JEAN JAURES;Marne;Grand-Est;Reims;Reims;CPGE - Lettres;96;896;293;67;88.0
Lycée Franklin Roosevelt;Marne;Grand-Est;Reims;Reims;BTS - Services - Services informatiques aux organisations;36;321;155;35;57.0
Lycée Hugues Libergier;Marne;Grand-Est;Reims;Reims;BTS - Services - Support à l'action managériale;36;354;180;32;73.0
Lycée Francois 1er;Marne;Grand-Est;Reims;Vitry-le-François;BTS - Production - Conception et Réalisation de Systèmes Automatiques;15;60;43;14;95.0
Lycée Stéphane Hessel;Marne;Grand-Est;Reims;Epernay;BTS - Services - Management Commercial Opérationnel;36;248;131;34;64.0
Institut Universitaire de Technologie de Reims;Marne;Grand-Est;Reims;Reims;BUT - Génie civil - Construction durable;128;1543;869;129;62.0
Institut Universitaire de Technologie de Reims;Marne;Grand-Est;Reims;Reims;BUT - Mesures physiques;52;619;477;44;92.0
Lycée St Michel;Marne;Grand-Est;Reims;Reims;BTS - Services - Gestion de la PME;24;137;79;21;73.0
Lycée St Michel;Marne;Grand-Est;Reims;Reims;BTS - Services - Comptabilité et gestion;24;99;78;18;97.0
INSA Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Formation d'ingénieur Bac + 5 - Bac Général;200;13552;3130;214;23.0
Lycée Fredéric OZANAM;Marne;Grand-Est;Reims;Châlons-en-Champagne;BTS - Services - Support à l'action managériale;22;83;44;4;92.0
Lycée de Somme-Vesle;Marne;Grand-Est;Reims;Somme-Vesle;BTS - Agricole - Agronomie et cultures durables;19;154;86;16;88.0
Lycée agricole Viticole De La Champagne;Marne;Grand-Est;Reims;Avize;BTS - Agricole - Viticulture-Oenologie;36;212;94;22;60.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;C.M.I - Cursus Master en Ingénierie - Sciences de la vie - Cursus Master en ingénierie (CMI) Biotechnologies et Agroressources;25;202;77;16;57.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;Licence - Langues étrangères appliquées - Parcours Anglais-allemand;60;201;185;30;100.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;Licence - Langues étrangères appliquées - Parcours Anglais-espagnol;210;827;768;172;100.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Anglais;270;1167;1042;240;100.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;Licence - Philosophie;70;319;295;47;100.0
Lycée Francois Arago;Marne;Grand-Est;Reims;Reims;BTS - Production - Management économique de la construction;15;182;70;12;63.0
LYCEE LASALLE REIMS-THILLOIS;Marne;Grand-Est;Reims;Thillois;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;36;134;88;15;97.0
Lycée professionnel Agricole de Somme-Suippe;Marne;Grand-Est;Reims;Somme-Suippe;BTS - Agricole - génie des équipements agricoles;28;81;62;16;86.0
lycée Georges BRIERE;Marne;Grand-Est;Reims;Reims;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;224;55;10;38.0
Lycée Jean TALON;Marne;Grand-Est;Reims;Châlons-en-Champagne;BTS - Services - Comptabilité et gestion;36;318;113;19;76.0
I.U.T. Reims-Châlons-Charleville - site de Châlons;Marne;Grand-Est;Reims;Châlons-en-Champagne;BUT - Réseaux et télécommunications;40;516;182;36;47.0
Lycée Saint-Exupery;Haute-Marne;Grand-Est;Reims;Saint-Dizier;BTS - Services - Support à l'action managériale;12;114;46;7;39.0
Lycée Edme Bouchardon;Haute-Marne;Grand-Est;Reims;Chaumont;BTS - Services - Management Commercial Opérationnel;36;356;123;35;56.0
Lycée Edme Bouchardon;Haute-Marne;Grand-Est;Reims;Chaumont;BTS - Services - Services informatiques aux organisations;36;179;102;34;90.0
LGT Réaumur - Lycée des métiers;Mayenne;Pays-de-la-Loire;Nantes;Laval;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);12;71;37;1;81.0
Lycée Immaculee Conception;Mayenne;Pays-de-la-Loire;Nantes;Laval;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;15;175;75;12;63.0
Lycée HAUTE-FOLLIS;Mayenne;Pays-de-la-Loire;Nantes;Laval;Diplôme de Comptabilité et de Gestion;35;239;120;32;94.0
Facultés libres de l'ouest - UCO - Laval;Mayenne;Pays-de-la-Loire;Nantes;Laval;Licence - Histoire;50;164;163;25;100.0
